CICALineCode,CICAStationCode,CICACompanyName,CICALineName,CICAStationName,CICANote
0,334,奈良交通,,薬師寺,
0,335,奈良交通,,西の京駅,
0,336,奈良交通,,六条柳町,
0,337,奈良交通,,奥柳,
0,338,奈良交通,,六条西町,
0,339,奈良交通,,六条山,
0,340,奈良交通,,薬師寺東口,
0,341,奈良交通,,薬師寺駐車場,
0,342,奈良交通,,尼ヶ辻駅,
0,343,奈良交通,,宝来東口,
0,344,奈良交通,,県立奈良病院口,
0,345,奈良交通,,宝来,
0,346,奈良交通,,畑,
0,347,奈良交通,,中町東坂,
0,349,奈良交通,,熊取,
0,351,奈良交通,,藤の木,
0,352,奈良交通,,霊山寺,
0,353,奈良交通,,富雄中山,
0,354,奈良交通,,三碓,
0,355,奈良交通,,富雄中学校前,
0,356,奈良交通,,三松北口,
0,357,奈良交通,,砂茶屋,
0,358,奈良交通,,三条大路五丁目,
0,359,奈良交通,,学園前駅,
0,360,奈良交通,,県立奈良病院前,
0,361,奈良交通,,近鉄郡山駅,
0,362,奈良交通,,郡山市役所前,
0,363,奈良交通,,やまと郡山城ホール,
0,364,奈良交通,,郡山天理教前,
0,365,奈良交通,,大職冠,
0,366,奈良交通,,矢田筋,
0,367,奈良交通,,矢田口町西口,
0,368,奈良交通,,外川町,
0,369,奈良交通,,奈良高専前,
0,370,奈良交通,,矢田東山,
0,371,奈良交通,,横山口,
0,372,奈良交通,,市営グランド前,
0,373,奈良交通,,矢田山町,
0,374,奈良交通,,新町,
0,375,奈良交通,,泉原町,
0,376,奈良交通,,矢田,
0,377,奈良交通,,矢田寺前,
0,378,奈良交通,,泉原南口,
0,379,奈良交通,,松尾寺口,
0,380,奈良交通,,小泉出屋敷,
0,381,奈良交通,,法起寺前,
0,382,奈良交通,,中宮寺東口,
0,383,奈良交通,,中宮寺前,
0,384,奈良交通,,畑ノ前公園,
0,385,奈良交通,,トチノキ通り,
0,387,奈良交通,,学研都市精華台,
0,388,奈良交通,,精華台五丁目,
0,389,奈良交通,,桃香野口,
0,390,奈良交通,,桃香野,
0,391,奈良交通,,太郎谷,
0,392,奈良交通,,月ノ瀬,
0,393,奈良交通,,嵩口,
0,394,奈良交通,,月瀬橋,月ヶ瀬梅林観梅バスでは（臨時停留所）月ヶ瀬観光会館前
0,395,奈良交通,,尾山,
0,397,奈良交通,,太子一丁目,
0,398,奈良交通,,柳生小学校前,
0,399,奈良交通,,正木坂,
0,400,奈良交通,,山脇,
0,401,奈良交通,,辻村,
0,402,奈良交通,,下尾羽根,
0,403,奈良交通,,尾羽根,
0,404,奈良交通,,大保,
0,405,奈良交通,,柳生丹生,
0,406,奈良交通,,上牧出合,
0,407,奈良交通,,北野山,
0,408,奈良交通,,邑地上出口,
0,409,奈良交通,,邑地上出,
0,410,奈良交通,,神田,
0,411,奈良交通,,水越神社前,
0,412,奈良交通,,白藤学園,
0,413,奈良交通,,三条添川町,
0,414,奈良交通,,菅原神社前,
0,415,奈良交通,,伏見小学校前,
0,416,奈良交通,,疋田,
0,417,奈良交通,,あやめ池南団地,
0,418,奈良交通,,三輪神社前,
0,419,奈良交通,,あやめ池南六丁目,
0,420,奈良交通,,蛙股池,
0,421,奈良交通,,あやめ池駅,
0,422,奈良交通,,菅原西町,
0,423,奈良交通,,紀寺住宅前,
0,424,奈良交通,,南方町,
0,425,奈良交通,,古市,
0,426,奈良交通,,穴栗神社前,
0,427,奈良交通,,横井,
0,428,奈良交通,,下山,
0,429,奈良交通,,納戸原,
0,430,奈良交通,,上山,
0,431,奈良交通,,精華学院前,
0,432,奈良交通,,柳茶屋,
0,433,奈良交通,,高樋中町,
0,434,奈良交通,,高樋町,
0,435,奈良交通,,精華小学校前,
0,436,奈良交通,,椿尾町,
0,437,奈良交通,,興隆寺町,
0,438,奈良交通,,中畑町,
0,439,奈良交通,,米谷町,
0,440,奈良交通,,杏中町,
0,441,奈良交通,,八条町四丁目,
0,442,奈良交通,,八条町一丁目,
0,443,奈良交通,,八条町地蔵前,
0,444,奈良交通,,宮の森町西口,
0,445,奈良交通,,宮の森町東口,
0,446,奈良交通,,精華台四丁目,
0,447,奈良交通,,三条桧町,
0,448,奈良交通,,恋の窪町一丁目,
0,449,奈良交通,,恋の窪町二丁目,
0,450,奈良交通,,済生会奈良病院,
0,451,奈良交通,,六条幼稚園東口,
0,452,奈良交通,,五条山団地,
0,453,奈良交通,,五条山新町,
0,454,奈良交通,,五条山新町一丁目,
0,455,奈良交通,,加茂駅,
0,456,奈良交通,,加茂草畑,
0,457,奈良交通,,南加茂台一丁目,
0,458,奈良交通,,南加茂台二丁目,
0,459,奈良交通,,南加茂台五丁目,
0,460,奈良交通,,塚穴公園,
0,461,奈良交通,,京内橋,
0,462,奈良交通,,高田東口,
0,463,奈良交通,,脇田,
0,464,奈良交通,,浄瑠璃寺口,
0,465,奈良交通,,高田西口,
0,466,奈良交通,,鶉原,
0,467,奈良交通,,上梅谷,
0,468,奈良交通,,下梅谷,
0,469,奈良交通,,木津南ソレイユ,
0,470,奈良交通,,高の原駅,
0,471,奈良交通,,平城高校,
0,472,奈良交通,,朱雀第一住宅,
0,473,奈良交通,,朱雀保育園,
0,474,奈良交通,,朱雀六丁目,
0,475,奈良交通,,平城大橋,
0,476,奈良交通,,佐保台西口,
0,477,奈良交通,,佐保台二丁目,
0,478,奈良交通,,佐保台三丁目,
0,479,奈良交通,,佐保台東口,
0,480,奈良交通,,高の原ゴルフセンター前,
0,481,奈良交通,,平城山駅東口,
0,482,奈良交通,,右京二丁目,
0,483,奈良交通,,右京三丁目,
0,484,奈良交通,,奈良大学,
0,485,奈良交通,,神功南口,
0,486,奈良交通,,県営平城住宅前,
0,487,奈良交通,,押熊北口,
0,488,奈良交通,,東登美ヶ丘一丁目,
0,489,奈良交通,,東登美ヶ丘一丁目西口,
0,490,奈良交通,,登美ヶ丘五丁目,
0,491,奈良交通,,精華台三丁目,
0,492,奈良交通,,東登美ヶ丘六丁目東,
0,493,奈良交通,,東登美ヶ丘六丁目,
0,494,奈良交通,,東登美ヶ丘五丁目,
0,495,奈良交通,,東登美ヶ丘四丁目,
0,496,奈良交通,,中登美ヶ丘二丁目,
0,497,奈良交通,,左京六丁目,
0,498,奈良交通,,総合福祉センター,
0,499,奈良交通,,左京四丁目,
0,500,奈良交通,,朱雀四丁目,
0,501,奈良交通,,朱雀五丁目,
0,502,奈良交通,,ならやま研究パーク,
0,502,奈良交通,,ならやま研究パーク,
0,503,奈良交通,,左京二丁目,
0,504,奈良交通,,神功四丁目,
0,505,奈良交通,,神功三丁目,
0,506,奈良交通,,右京四丁目,
0,507,奈良交通,,右京五丁目,
0,508,奈良交通,,兜台一丁目西,
0,509,奈良交通,,兜台一丁目,
0,510,奈良交通,,右京小学校,
0,511,奈良交通,,右京一丁目,
0,512,奈良交通,,東大寺学園,
0,513,奈良交通,,兜台五丁目,
0,514,奈良交通,,精華桜が丘二丁目,
0,515,奈良交通,,精華桜が丘四丁目,
0,516,奈良交通,,精華桜が丘三丁目,
0,517,奈良交通,,兜台三丁目,
